【統計サマリー】
試行回数,20
平均ターン数,96.4
最大ターン数,100
最小ターン数,60
Lv0 平均一致回数(近接),62.7
Lv1 平均一致回数(近接),62.45
Lv1 平均協調回数(被り回避),43.55

Episode_ID,Seed,End_Turn,Note,Lv0_Match_Count,Lv1_Match_Count,Lv1_Coop_Count
1,622809,100,TimeUp,63,70,26
2,823449,100,TimeUp,66,70,49
3,553965,100,TimeUp,50,71,34
4,236893,60,Clear,41,43,26
5,479725,68,Clear,53,59,58
6,904620,100,TimeUp,56,58,46
7,215009,100,TimeUp,79,70,44
8,969939,100,TimeUp,58,84,51
9,152475,100,TimeUp,68,49,33
10,602215,100,TimeUp,66,74,49
11,768241,100,TimeUp,73,69,40
12,293752,100,TimeUp,68,70,55
13,320037,100,TimeUp,60,51,40
14,20732,100,TimeUp,70,60,50
15,531940,100,TimeUp,70,56,48
16,303833,100,TimeUp,57,55,46
17,778971,100,TimeUp,73,67,25
18,112143,100,TimeUp,61,54,50
19,385580,100,TimeUp,67,59,54
20,16559,100,TimeUp,55,60,47
