Episode_ID,総ステップ数,意図推定一致数,意図推定正答率(%),合理的選択数(マンハッタン),合理的選択率_Manhattan(%),合理的選択数(ユークリッド),合理的選択率_Euclidean(%)
1,100,79,79.0,63,63.0,62,62.0
2,100,72,72.0,66,66.0,67,67.0
3,100,66,66.0,50,50.0,49,49.0
4,60,49,81.7,41,68.3,47,78.3
5,68,59,86.8,53,77.9,56,82.4
6,100,61,61.0,56,56.0,61,61.0
7,100,83,83.0,79,79.0,77,77.0
8,100,80,80.0,58,58.0,58,58.0
9,100,74,74.0,68,68.0,65,65.0
10,100,70,70.0,66,66.0,67,67.0
11,100,85,85.0,73,73.0,68,68.0
12,100,83,83.0,68,68.0,65,65.0
13,100,74,74.0,60,60.0,48,48.0
14,100,71,71.0,70,70.0,69,69.0
15,100,78,78.0,70,70.0,63,63.0
16,100,69,69.0,57,57.0,62,62.0
17,100,67,67.0,73,73.0,78,78.0
18,100,64,64.0,61,61.0,58,58.0
19,100,79,79.0,67,67.0,63,63.0
20,100,74,74.0,55,55.0,58,58.0
